date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD)
2017-07-25,41749.8159233,26,11520300.0,0.115203,145269.0,
2017-07-26,5858.57167152,9,10589300.0,0.105893,200395.0,
2017-07-27,16231.6427037,17,10510800.0,0.105108,344499.0,
2017-07-28,9536.22290056,14,10763200.0,0.107632,342568.0,
2017-07-29,24588.7270223,3,10478200.0,0.104782,340218.0,
2017-07-30,1472.43739715,3,10793500.0,0.107935,224261.0,
2017-07-31,107658.601588,8,10682800.0,0.106828,240309.0,
2017-08-01,221259.889177,10,10459500.0,0.104595,300413.0,
2017-08-02,11605.314107,13,9972120.0,0.099721,256793.0,
2017-08-03,6547.97413976,9,10032800.0,0.100328,293008.0,
2017-08-04,11301.0326232,15,10668500.0,0.106685,287621.0,
2017-08-05,339962.085134,22,10741800.0,0.107418,542878.0,
2017-08-06,15571.1826569,11,12929200.0,0.129293,393681.0,
2017-08-07,58380.141718,28,13395800.0,0.133958,748177.0,
2017-08-08,68935.7482865,37,14899800.0,0.148998,2617340.0,
2017-08-09,517400.677509,54,22474800.0,0.224748,3075320.0,
2017-08-10,128707.675212,55,25182700.0,0.251827,4118070.0,
2017-08-11,713871.823784,67,34878500.0,0.348785,4413920.0,
2017-08-12,449295.598479,79,39219300.0,0.392193,5080760.0,
2017-08-13,1483674.2819,99,44599000.0,0.44599,13852100.0,
2017-08-14,1797262.27263,228,87291800.0,0.872918,51698100.0,
2017-08-15,1100713.64718,164,132709000.0,1.33,19824400.0,
2017-08-16,621987.081751,123,111969000.0,1.12,31363100.0,
2017-08-17,1555358.92945,178,143697000.0,1.44,61296500.0,
2017-08-18,5960765.01715,319,192519000.0,1.93,69048000.0,
2017-08-19,751949.751114,159,233440000.0,2.33,43391300.0,
2017-08-20,648832.312796,176,210821000.0,2.11,65350400.0,
2017-08-21,1026840.33946,270,243075000.0,2.43,72000600.0,
2017-08-22,1175432.72435,209,272445000.0,2.72,52091300.0,
2017-08-23,1188949.86846,281,247397000.0,2.47,64925100.0,
2017-08-24,743009.188738,220,262736000.0,2.63,45080400.0,
2017-08-25,19232240.3413,214,239057000.0,2.39,49977600.0,
2017-08-26,700830.919723,117,253038000.0,2.53,26690700.0,
2017-08-27,391253.101637,115,217997000.0,2.18,17214900.0,
2017-08-28,321688.532729,106,202149000.0,2.02,15413900.0,
2017-08-29,618901.237641,109,210625000.0,2.11,20372000.0,
2017-08-30,597395.816026,117,228194000.0,2.28,24830000.0,
2017-08-31,581861.112902,116,232823000.0,2.33,20214800.0,
2017-09-01,354339.221591,81,220169000.0,2.2,20990700.0,
2017-09-02,596367.955244,127,250000000.0,2.5,22995400.0,
2017-09-03,4643484.35582,128,192548000.0,1.93,11662000.0,
2017-09-04,1923502.58519,298,157665000.0,1.58,20075100.0,
2017-09-05,390937.151163,168,103251000.0,1.03,9453770.0,
2017-09-06,707320.013857,170,99052100.0,0.990521,14279400.0,
2017-09-07,335071.671614,133,103434000.0,1.03,15442300.0,
2017-09-08,1732180.08156,180,139804000.0,1.4,9872850.0,
2017-09-09,540439.090666,125,100920000.0,1.01,4011510.0,
2017-09-10,412944.129273,92,98207800.0,0.982078,3257430.0,
2017-09-11,267774.000296,68,94918600.0,0.949186,5167180.0,
2017-09-12,419265.150873,90,103348000.0,1.03,7213490.0,
2017-09-13,209812.731214,66,104290000.0,1.04,2780700.0,
2017-09-14,365380.811986,70,93787000.0,0.93787,3134360.0,
2017-09-15,1227850.89407,69,68330500.0,0.683305,4625680.0,
2017-09-16,425135.914298,55,80805600.0,0.808056,2829570.0,
2017-09-17,302139.468861,40,80342300.0,0.803423,1273640.0,
2017-09-18,204689.407036,37,78956500.0,0.789565,3717860.0,
2017-09-19,94763.104221,34,90739800.0,0.907398,2888420.0,
2017-09-20,120275.855254,40,81503200.0,0.815032,2536950.0,
2017-09-21,114763.799466,41,76401300.0,0.764013,2238040.0,
2017-09-22,189750.211717,36,69887100.0,0.698871,2099500.0,
2017-09-23,20462.768138,34,71719600.0,0.717196,2276080.0,
2017-09-24,28616.9938205,19,77580400.0,0.775804,2402720.0,
2017-09-25,1568459.65874,37,78424400.0,0.784244,3695220.0,
2017-09-26,2159113.98682,82,91892200.0,0.918922,3460160.0,
2017-09-27,305865.919741,67,85569800.0,0.855698,8394020.0,
2017-09-28,5930014.4771,123,114843000.0,1.15,13944300.0,
2017-09-29,168596.749859,51,136698000.0,1.37,8474270.0,
2017-09-30,829080.565547,296,127000000.0,1.27,6194570.0,
2017-10-01,184091.747782,1244,128418000.0,1.28,9043600.0,
2017-10-02,476045.057019,1879,152662000.0,1.53,19367700.0,
2017-10-03,249496.294146,1456,196783000.0,1.97,14411500.0,
2017-10-04,94197.1392807,2483,185150000.0,1.85,7227750.0,
2017-10-05,131608.642142,2951,163499000.0,1.63,7503500.0,
2017-10-06,262701.87549,32,167731000.0,1.68,6076260.0,
2017-10-07,183204.453298,50,160526000.0,1.61,5578780.0,
2017-10-08,176376.338676,32,157618000.0,1.58,4515300.0,
2017-10-09,81538.5313199,50,120771000.0,1.21,9667100.0,
2017-10-10,89732.1576686,60,143107000.0,1.43,6912770.0,
2017-10-11,95217.4925882,42,139944000.0,1.4,6123140.0,
2017-10-12,80492.0312894,34,142996000.0,1.43,5275850.0,
2017-10-13,135417.054381,50,133651000.0,1.34,5705760.0,
2017-10-14,99572.3813124,55,146932000.0,1.47,3355060.0,
2017-10-15,119957.598752,51,149513000.0,1.5,5987930.0,
2017-10-16,94570.7085059,45,155599000.0,1.56,2960330.0,
2017-10-17,102231.973973,34,143768000.0,1.44,1744390.0,
2017-10-18,4729995.94974,45,139351000.0,1.39,2311140.0,
2017-10-19,91551.6654656,47,132868000.0,1.33,1791220.0,
2017-10-20,18130.809304,33,128326000.0,1.28,1703230.0,
2017-10-21,68879.4408698,32,122515000.0,1.24,1331640.0,
2017-10-22,43697.9418041,26,124292000.0,1.26,1631220.0,
2017-10-23,428180.475181,35,121922000.0,1.23,2355560.0,
2017-10-24,880684.537103,58,116532000.0,1.18,4833390.0,
2017-10-25,36486.1221508,25,123115000.0,1.24,2288360.0,
2017-10-26,51781.728252,25,124854000.0,1.26,2400010.0,
2017-10-27,86618.2103496,43,119683000.0,1.21,2067650.0,
2017-10-28,97790.6036076,30,116928000.0,1.18,1495260.0,
2017-10-29,15734.9758148,26,116675000.0,1.18,1969690.0,
2017-10-30,42057.5579583,32,122120000.0,1.23,2437230.0,
2017-10-31,226663.523451,1047,132278000.0,1.34,3397150.0,
2017-11-01,139918.92013,2655,132200000.0,1.34,2118920.0,
