date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD)
2017-12-20,74930517.9401,1597,427608000.0,2.14,46317300.0,
2017-12-26,191138193.035,2137,1998530000.0,6.99,217605000.0,
2017-12-27,93877272.0252,1658,1794830000.0,6.28,124386000.0,
2017-12-28,340538228.32,1717,1465880000.0,5.13,143201000.0,
2017-12-29,43214905.217,1564,2004520000.0,5.84,72316600.0,
2017-12-30,29009882.6671,1367,2082760000.0,5.53,65365800.0,
2017-12-31,23348864.0413,1013,1952280000.0,5.18,62230900.0,
2018-01-01,47159098.8765,1124,2017570000.0,5.35,103225000.0,
2018-01-02,62817896.7644,1670,2328010000.0,6.18,159429000.0,
2018-01-03,57556592.4917,1574,2446920000.0,6.48,147000000.0,
2018-01-04,93167618.9211,1824,2794050000.0,7.4,160103000.0,
2018-01-05,54406420.3309,1423,2765270000.0,7.31,161902000.0,
2018-01-06,34077682.0192,1804,2607470000.0,6.89,149783000.0,
2018-01-07,68163917.6869,2148,2947310000.0,7.79,283778000.0,
2018-01-08,73999322.9983,1872,3730790000.0,9.86,227863000.0,
2018-01-09,73271667.0735,2078,3928180000.0,10.38,259024000.0,
2018-01-10,88120241.4925,1960,4645360000.0,12.27,151609000.0,
2018-01-11,98603365.8836,1849,4189070000.0,11.07,200895000.0,
2018-01-12,50640364.1701,1551,3481210000.0,9.2,114801000.0,
2018-01-13,35919528.8592,1438,3755250000.0,9.92,107243000.0,
2018-01-14,33558639.1625,1239,3752670000.0,9.91,106777000.0,
2018-01-15,53817933.7025,1294,4031390000.0,10.61,95147400.0,
2018-01-16,66167869.9851,1524,3759910000.0,9.89,113491000.0,
2018-01-17,50315781.3048,1530,2831510000.0,7.45,106760000.0,
2018-01-18,40130817.2521,1430,2851870000.0,7.5,91459000.0,
2018-01-19,54544715.36,1327,2985450000.0,7.86,77194800.0,
2018-01-20,35314227.3028,1572,3243750000.0,8.54,118950000.0,
2018-01-21,80483224.8675,1556,3909760000.0,10.29,79298200.0,
2018-01-22,69896651.5683,1280,3427670000.0,9.02,85710100.0,
2018-01-23,31693927.8085,1276,3087210000.0,8.12,87696600.0,
2018-01-24,47837560.2384,1494,3079560000.0,8.1,184779000.0,
2018-01-25,30976351.7987,1014,3183380000.0,8.38,84307600.0,
2018-01-26,24379437.7041,1084,2972130000.0,7.82,65230500.0,
2018-01-27,31582070.762,1132,3012180000.0,7.93,42756600.0,
2018-01-28,38597371.452,1547,3017350000.0,7.94,154715000.0,
2018-01-29,67344671.2951,1335,3582480000.0,9.43,120820000.0,
2018-01-30,71213000.5973,1988,3628280000.0,9.52,205957000.0,
2018-01-31,53927166.8001,1856,3151000000.0,8.27,178997000.0,
2018-02-01,43654304.7377,1681,2942890000.0,7.72,128136000.0,
2018-02-02,31267135.2271,1522,2319700000.0,6.08,94399400.0,
2018-02-03,12951508.1133,1136,2021100000.0,5.3,47213900.0,
2018-02-04,33997465.3047,1057,2074470000.0,5.44,54855100.0,
2018-02-05,34551542.4149,1674,1630110000.0,4.27,83113100.0,
2018-02-06,20920540.379,1723,1175930000.0,3.08,163330000.0,
2018-02-07,35505936.9263,1219,1672260000.0,4.38,90748200.0,
2018-02-08,4572000.43148,283,1458380000.0,3.82,99461300.0,
2018-02-09,12577490.5191,1045,1657680000.0,4.35,10375600.0,
