date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD)
2017-07-16,8598553.1997,1067,42380400.0,0.431081,1743630.0,
2017-07-17,4896368.63192,929,37524100.0,0.381684,4273090.0,
2017-07-18,8007341.00457,1250,56453100.0,0.574224,8394650.0,
2017-07-19,8140499.50629,905,74647300.0,0.75929,4236020.0,
2017-07-20,4155589.41999,625,58605700.0,0.596119,3376440.0,
2017-07-21,3672235.54951,582,65844800.0,0.669754,2140420.0,
2017-07-22,7267629.88162,724,72951200.0,0.742038,3596130.0,
2017-07-23,6950130.20773,1431,86413600.0,0.878973,15198100.0,
2017-07-24,13840856.499,1954,148581000.0,1.51,12526000.0,
2017-07-25,6703506.3767,1164,150667000.0,1.53,8132390.0,
2017-07-26,4848932.63807,835,121110000.0,1.23,4740910.0,
2017-07-27,3461466.95893,717,118718000.0,1.21,5379280.0,
2017-07-28,4767452.50674,834,135475000.0,1.38,5438700.0,
2017-07-29,3429492.45242,543,116968000.0,1.19,2651230.0,
2017-07-30,1250522.33913,497,124645000.0,1.27,1749290.0,
2017-07-31,2591274.34394,477,118309000.0,1.2,2153100.0,
2017-08-01,1247073.03027,496,120415000.0,1.22,4360060.0,
2017-08-02,6130689.44472,696,131707000.0,1.34,3708080.0,
2017-08-03,11186011.8799,1635,135528000.0,1.38,18348800.0,
2017-08-04,25462595.5241,3724,192003000.0,1.95,44051500.0,
2017-08-05,72158600.8354,5784,274109000.0,2.79,95593700.0,
2017-08-06,35299068.5394,2688,356183000.0,3.62,39669900.0,
2017-08-07,16967873.3727,2425,265138000.0,2.7,34417900.0,
2017-08-08,24997553.7467,3892,309766000.0,3.15,49778700.0,
2017-08-09,19227388.2812,2387,355440000.0,3.62,24783900.0,
2017-08-10,41259963.7412,6109,335183000.0,3.41,234693000.0,
2017-08-11,112228362.995,5506,586021000.0,5.96,200287000.0,
2017-08-12,41251423.0147,4262,707779000.0,7.2,87590300.0,
2017-08-13,45828309.4243,3931,607772000.0,6.18,128909000.0,
2017-08-14,26879868.6999,3574,676804000.0,6.88,85191300.0,
2017-08-15,31065889.2712,3096,682506000.0,6.94,67045700.0,
2017-08-16,44531368.4666,4897,655537000.0,6.67,204580000.0,
2017-08-17,38467326.0814,4169,873548000.0,8.89,131488000.0,
2017-08-18,34461034.4602,4510,825591000.0,8.4,104224000.0,
2017-08-19,25297779.9659,3857,718510000.0,7.31,70997400.0,
