date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD)
2016-10-06,null,null,99024700.0,9.0,9462610.0,
2016-10-07,null,null,80687300.0,7.34,3666620.0,
2016-10-08,null,null,73760700.0,6.71,2552960.0,
2016-10-09,null,null,75343700.0,6.85,2654660.0,
2016-10-10,null,null,77912100.0,7.08,2121650.0,
2016-10-11,null,null,73011000.0,6.64,2559300.0,
2016-10-12,null,null,63391500.0,5.76,1257480.0,
2016-10-13,null,null,65057900.0,5.91,1464160.0,
2016-10-14,null,null,67574500.0,6.14,1119820.0,
2016-10-15,null,null,63481300.0,5.77,595304.0,
2016-10-16,null,null,63772700.0,5.8,262490.0,
2016-10-17,null,null,62895000.0,5.72,1065750.0,
2016-10-18,null,null,55487400.0,5.04,1201840.0,
2016-10-19,null,null,59970100.0,5.45,371488.0,
2016-10-20,null,null,57679200.0,5.24,237343.0,
2016-10-21,null,null,56375000.0,5.13,353304.0,
2016-10-22,null,null,59801900.0,5.44,348124.0,
2016-10-23,null,null,58536200.0,5.32,143175.0,
2016-10-24,null,null,58084100.0,5.28,229791.0,
2016-10-25,null,null,56396800.0,5.13,542001.0,
2016-10-26,null,null,53162800.0,4.83,734443.0,
2016-10-27,null,null,56128200.0,5.1,544258.0,
2016-10-28,null,null,55134700.0,5.01,415732.0,
2016-10-29,null,null,48682400.0,4.43,751009.0,
2016-10-30,null,null,45800700.0,4.16,346497.0,
2016-10-31,null,null,50949600.0,4.63,306438.0,
2016-11-01,null,null,49002000.0,4.45,957072.0,
2016-11-02,null,null,43977100.0,4.0,373719.0,
2016-11-03,null,null,48460600.0,4.41,463674.0,
2016-11-04,null,null,49482300.0,4.5,563631.0,
2016-11-05,null,null,48130300.0,4.38,713930.0,
2016-11-06,null,null,59237300.0,5.39,490816.0,
2016-11-07,null,null,54497600.0,4.95,562070.0,
2016-11-08,null,null,53443900.0,4.86,218784.0,
2016-11-09,null,null,51975100.0,4.73,925290.0,
2016-11-10,null,null,49061400.0,4.46,450393.0,
2016-11-11,null,null,54109300.0,4.92,268521.0,
2016-11-12,null,null,53297100.0,4.85,263426.0,
2016-11-13,null,null,53640100.0,4.88,129047.0,
2016-11-14,null,null,51288700.0,4.66,119725.0,
2016-11-15,null,null,47907900.0,4.36,242285.0,
2016-11-16,null,null,50489200.0,4.59,223103.0,
2016-11-17,null,null,50086500.0,4.55,290490.0,
2016-11-18,null,null,49275900.0,4.48,523043.0,
2016-11-19,null,null,46095400.0,4.19,3192770.0,
2016-11-20,null,null,50603400.0,4.6,295331.0,
2016-11-21,null,null,49716700.0,4.52,128983.0,
2016-11-22,null,null,51484900.0,4.68,176003.0,
2016-11-23,null,null,49709100.0,4.52,93339.0,
2016-11-24,null,null,48110800.0,4.37,166250.0,
2016-11-25,null,null,46669500.0,4.24,85457.0,
2016-11-26,null,null,46032300.0,4.18,133827.0,
2016-11-27,null,null,45728300.0,4.16,58510.0,
2016-11-28,null,null,47403600.0,4.31,461672.0,
2016-11-29,null,null,40667300.0,3.7,179441.0,
2016-11-30,null,null,39962500.0,3.63,120388.0,
2016-12-01,null,null,40407900.0,3.67,148843.0,
2016-12-02,null,null,39419600.0,3.58,209470.0,
2016-12-03,null,null,36688400.0,3.34,78469.0,
2016-12-04,null,null,38074100.0,3.46,36292.0,
2016-12-05,null,null,36474000.0,3.32,158124.0,
2016-12-06,null,null,30951200.0,2.81,1504100.0,
2016-12-07,null,null,33359900.0,3.03,365404.0,
2016-12-08,null,null,35421000.0,3.22,169892.0,
2016-12-09,null,null,35356100.0,3.21,205857.0,
2016-12-10,null,null,35608500.0,3.24,379640.0,
2016-12-11,null,null,33616300.0,3.06,66433.0,
2016-12-12,null,null,35048500.0,3.19,66193.0,
2016-12-13,null,null,34718000.0,3.16,65076.0,
2016-12-14,null,null,34031700.0,3.09,37149.0,
2016-12-15,null,null,34370700.0,3.12,52682.0,
2016-12-16,null,null,32564600.0,2.96,136916.0,
2016-12-17,null,null,32237200.0,2.93,135501.0,
2016-12-18,null,null,30783700.0,2.8,178476.0,
2016-12-19,null,null,34018600.0,3.09,72204.0,
2016-12-20,null,null,32425000.0,2.95,97304.0,
2016-12-21,null,null,30863400.0,2.81,208222.0,
2016-12-22,null,null,31674700.0,2.88,242067.0,
2016-12-23,null,null,30355800.0,2.76,350671.0,
2016-12-24,null,null,27937400.0,2.54,112675.0,
2016-12-25,null,null,30454900.0,2.77,210210.0,
2016-12-26,null,null,30405900.0,2.76,225805.0,
2016-12-27,null,null,36302900.0,3.3,247769.0,
2016-12-28,null,null,38060800.0,3.46,409937.0,
2016-12-29,null,null,35719400.0,3.25,258671.0,
2016-12-30,null,null,38412100.0,3.49,244089.0,
2016-12-31,null,null,40521600.0,3.68,206882.0,
2017-01-01,null,null,41266900.0,3.75,230517.0,
2017-01-02,null,null,43852100.0,3.99,266753.0,
2017-01-03,null,null,45843100.0,4.17,437238.0,
2017-01-04,null,null,47206200.0,4.29,411248.0,
2017-01-05,null,null,54089100.0,4.92,834470.0,
2017-01-06,null,null,55685000.0,5.06,567851.0,
2017-01-07,null,null,56481600.0,5.13,336699.0,
2017-01-08,null,null,51572700.0,4.69,182558.0,
2017-01-09,null,null,50844100.0,4.62,298534.0,
2017-01-10,null,null,46474600.0,4.22,154430.0,
2017-01-11,null,null,45826100.0,4.17,205051.0,
2017-01-12,null,null,41548600.0,3.78,93900.0,
2017-01-13,null,null,44684000.0,4.06,120206.0,
2017-01-14,null,null,47429700.0,4.31,220127.0,
2017-01-15,null,null,47000200.0,4.27,90878.0,
2017-01-16,null,null,45224400.0,4.11,81000.0,
2017-01-17,null,null,44203200.0,4.02,156941.0,
2017-01-18,null,null,47721700.0,4.34,177271.0,
2017-01-19,null,null,48626200.0,4.42,90338.0,
2017-01-20,null,null,49400500.0,4.49,111644.0,
2017-01-21,null,null,48708900.0,4.43,109464.0,
2017-01-22,null,null,50452900.0,4.59,148974.0,
2017-01-23,null,null,51253400.0,4.66,127108.0,
2017-01-24,null,null,50152300.0,4.56,241846.0,
2017-01-25,null,null,47637800.0,4.33,116659.0,
2017-01-26,null,null,47174800.0,4.29,259692.0,
2017-01-27,null,null,45329800.0,4.12,228350.0,
2017-01-28,null,null,47518700.0,4.32,255334.0,
2017-01-29,null,null,46842600.0,4.26,113178.0,
2017-01-30,null,null,47543900.0,4.32,68844.0,
2017-01-31,null,null,46196100.0,4.2,96346.0,
2017-02-01,null,null,47226300.0,4.29,164978.0,
2017-02-02,null,null,46364600.0,4.21,136148.0,
2017-02-03,null,null,44990700.0,4.09,276453.0,
2017-02-04,null,null,45664600.0,4.15,175939.0,
2017-02-05,null,null,46507000.0,4.23,72615.0,
2017-02-06,null,null,45650000.0,4.15,190404.0,
2017-02-07,null,null,46714100.0,4.25,150490.0,
2017-02-08,null,null,47400500.0,4.31,332664.0,
2017-02-09,null,null,50385200.0,4.58,300312.0,
2017-02-10,null,null,47782200.0,4.34,169611.0,
2017-02-11,null,null,46215100.0,4.2,91268.0,
2017-02-12,null,null,47567400.0,4.32,82761.0,
2017-02-13,null,null,49668400.0,4.52,210008.0,
2017-02-14,null,null,47500300.0,4.32,518341.0,
2017-02-15,null,null,52427600.0,4.77,282551.0,
2017-02-16,null,null,53349100.0,4.85,219938.0,
2017-02-17,null,null,54372800.0,4.94,144989.0,
2017-02-18,null,null,54251100.0,4.93,80608.0,
2017-02-19,null,null,55728700.0,5.07,124221.0,
2017-02-20,null,null,57148100.0,5.2,167989.0,
2017-02-21,null,null,55318100.0,5.03,363361.0,
2017-02-22,null,null,50981300.0,4.63,171787.0,
2017-02-23,null,null,52004200.0,4.73,99599.0,
2017-02-24,null,null,53965000.0,4.91,390417.0,
2017-02-25,null,null,51821800.0,4.71,121758.0,
2017-02-26,null,null,52367000.0,4.76,114914.0,
2017-02-27,null,null,54077500.0,4.92,113106.0,
2017-02-28,null,null,52962500.0,4.81,277464.0,
2017-03-01,null,null,49936500.0,4.54,497785.0,
2017-03-02,null,null,55504000.0,5.05,1447440.0,
2017-03-03,null,null,63735900.0,5.79,291826.0,
2017-03-04,null,null,62951500.0,5.72,182986.0,
2017-03-05,null,null,60853000.0,5.53,391595.0,
2017-03-06,null,null,67518300.0,6.14,252442.0,
2017-03-07,null,null,65878200.0,5.99,227350.0,
2017-03-08,null,null,63082800.0,5.73,137622.0,
2017-03-09,null,null,58300900.0,5.3,213755.0,
2017-03-10,null,null,60049300.0,5.46,622053.0,
2017-03-11,null,null,65468200.0,5.95,561870.0,
2017-03-12,null,null,66170400.0,6.02,953843.0,
2017-03-13,null,null,80740000.0,7.34,2331790.0,
2017-03-14,null,null,85096200.0,7.74,1309670.0,
2017-03-15,null,null,91848100.0,8.35,1723790.0,
2017-03-16,null,null,111246000.0,10.11,4754740.0,
2017-03-17,null,null,105406000.0,9.58,3309910.0,
2017-03-18,null,null,88360200.0,8.03,1466830.0,
