date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD)
2017-09-29,345052554.485,2317,53970200.0,6.91,4174650.0,
2017-09-30,49068836.8678,2451,32679300.0,4.18,6410870.0,
2017-10-01,38970015.8549,1825,191963000.0,5.78,15741400.0,
2017-10-02,80287867.7475,1701,247626000.0,7.27,13543300.0,
2017-10-03,26854245.6371,852,238819000.0,6.52,5546400.0,
2017-10-04,27243091.2188,906,198035000.0,5.4,4136630.0,
2017-10-05,20424587.1623,1504,232177000.0,4.25,3646930.0,
2017-10-06,11976701.1072,1256,230475000.0,4.22,2282420.0,
2017-10-07,4199899.01056,1106,217867000.0,3.98,3388420.0,
2017-10-08,11307934.2824,1305,182975000.0,3.35,2501230.0,
2017-10-09,7291094.86979,1088,188748000.0,3.45,2942420.0,
2017-10-10,9595116.59544,1136,166755000.0,3.05,2384720.0,
2017-10-11,8238488.47479,1369,181908000.0,3.33,3229530.0,
2017-10-12,3088557.5427,872,210884000.0,3.86,2160950.0,
2017-10-13,3698534.20163,1258,195851000.0,3.58,2599040.0,
2017-10-14,1929895.0097,922,178682000.0,3.27,1515720.0,
2017-10-15,1350568.50307,851,160713000.0,2.94,1371840.0,
2017-10-16,9418798.79441,1946,164118000.0,3.0,5613960.0,
2017-10-17,11412548.0116,1375,189382000.0,3.46,6084920.0,
2017-10-18,9798856.64595,921,168367000.0,3.08,4956180.0,
2017-10-19,4571759.87585,736,161803000.0,2.96,3695910.0,
2017-10-20,7226181.2907,1073,162640000.0,2.97,4634470.0,
2017-10-21,3079111.30026,911,150237000.0,2.75,5154440.0,
2017-10-22,2509869.61364,858,117315000.0,2.51,5401130.0,
2017-10-23,8405315.83056,2377,166425000.0,3.56,13532400.0,
2017-10-24,15225270.9363,1315,143132000.0,3.06,6991420.0,
2017-10-25,3382909.07453,960,142405000.0,3.05,6644420.0,
2017-10-26,3516872.85097,888,152880000.0,3.27,5668710.0,
2017-10-27,1977183.83041,853,142242000.0,3.04,3240800.0,
2017-10-28,1943730.88757,786,137541000.0,2.94,3545970.0,
2017-10-29,1698846.38172,894,133098000.0,2.85,3768150.0,
2017-10-30,1533940.45208,902,138111000.0,2.95,3316740.0,
2017-10-31,1440466.42178,1152,125514000.0,2.68,4393950.0,
2017-11-01,2198664.33787,1518,124172000.0,2.66,4220950.0,
2017-11-02,2270049.33796,1308,105729000.0,2.26,4052270.0,
2017-11-03,2486957.23305,1093,107618000.0,2.3,4608760.0,
2017-11-04,1024933.37172,824,120223000.0,2.57,3843900.0,
2017-11-05,2001336.47394,770,110083000.0,2.35,3216540.0,
2017-11-06,2551172.25098,1108,121071000.0,2.59,6400980.0,
2017-11-07,3258690.57963,1399,130316000.0,2.79,6463600.0,
2017-11-08,5005477.78048,1733,146252000.0,3.13,10930800.0,
2017-11-09,7413256.53039,2436,171178000.0,3.66,10186400.0,
2017-11-10,3685101.14233,1823,193321000.0,4.14,6291400.0,
2017-11-11,2333633.32502,1384,176728000.0,3.78,6157120.0,
2017-11-12,4512343.89075,1732,181196000.0,3.88,5216980.0,
2017-11-13,1550978.78253,1141,161456000.0,3.45,4445720.0,
2017-11-14,2141864.15986,906,194348000.0,3.96,4635890.0,
2017-11-15,1305613.98705,1029,190015000.0,3.88,4302840.0,
2017-11-16,1961874.32324,1134,187189000.0,3.82,5030580.0,
2017-11-17,2818024.42593,1513,173996000.0,3.56,4069920.0,
2017-11-18,1227708.50511,1140,164922000.0,3.37,4922050.0,
2017-11-19,6033963.0093,1634,192781000.0,3.94,7020010.0,
2017-11-20,2447464.8076,1389,177773000.0,3.63,5253100.0,
2017-11-21,3309625.59533,966,183684000.0,3.75,4021460.0,
2017-11-22,1783438.67053,1294,180485000.0,3.69,4335110.0,
2017-11-23,1456346.15855,930,179844000.0,3.67,5002100.0,
2017-11-24,2128355.34972,1163,176742000.0,3.61,4521800.0,
2017-11-25,1400543.40751,1006,178604000.0,3.65,4452600.0,
2017-11-26,2344441.90645,1818,191937000.0,3.92,6857590.0,
2017-11-27,10477018.2826,1589,215699000.0,4.41,6660970.0,
2017-11-28,4660107.61342,1528,213329000.0,4.33,6433560.0,
2017-11-29,5063255.42474,1681,208328000.0,4.21,7243310.0,
2017-11-30,2408080.0683,1300,179775000.0,3.61,8971200.0,
2017-12-01,10253802.4364,1450,217661000.0,4.38,7879480.0,
2017-12-02,7131275.96404,2818,233160000.0,4.6,16700600.0,
2017-12-03,5608042.04873,2631,257036000.0,5.07,12708800.0,
2017-12-04,8994646.66963,3283,283357000.0,5.58,19911800.0,
2017-12-05,2813906.51831,2482,338931000.0,6.68,13171800.0,
2017-12-06,12277355.5806,3900,323762000.0,6.38,35772100.0,
2017-12-07,10286409.8283,4003,376578000.0,7.44,31185000.0,
2017-12-08,11206228.8977,3781,356246000.0,7.04,20075900.0,
2017-12-09,29176107.6136,3023,392636000.0,7.77,19052200.0,
2017-12-10,8191861.70235,2303,408553000.0,8.08,14546100.0,
2017-12-11,13303165.7265,2861,367340000.0,7.27,15579400.0,
2017-12-12,17177957.0047,3669,373749000.0,7.4,20261300.0,
2017-12-13,9628384.68822,3124,391145000.0,7.67,16650600.0,
2017-12-14,9958711.54245,3612,389285000.0,7.63,24991300.0,
2017-12-15,11285587.9372,3063,478509000.0,9.38,25707100.0,
2017-12-16,7718707.69606,2872,459718000.0,9.01,23375500.0,
2017-12-17,10001421.2768,3790,519983000.0,10.19,17546300.0,
2017-12-18,18368448.1855,3434,506984000.0,9.95,32649100.0,
2017-12-19,41256550.1256,4246,569346000.0,11.17,36828800.0,
2017-12-20,12209465.8418,3303,526042000.0,10.2,27937400.0,
2017-12-21,19488395.7311,4221,470384000.0,9.12,33123300.0,
2017-12-22,20277278.0225,4279,579611000.0,11.25,27288000.0,
2017-12-23,25615534.7989,2561,460273000.0,8.89,17854100.0,
