date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD)
2017-06-17,666768.474785,162,93724400.0,48.57,598619.0,
2017-06-18,530213.34562,149,143643000.0,74.44,460199.0,
2017-06-19,2872685.94822,364,139690000.0,71.05,1782450.0,
2017-06-20,8106034.90369,280,358237000.0,182.19,875154.0,
2017-06-21,919284.911748,136,247407000.0,125.79,196939.0,
2017-06-22,1429289.26855,251,201008000.0,102.2,595125.0,
2017-06-23,1794536.54911,339,189303000.0,96.25,648668.0,
2017-06-24,6799227.24436,196,179678000.0,91.33,533137.0,
2017-06-25,897491.622709,201,161284000.0,81.98,448249.0,
2017-06-26,675406.517525,191,174386000.0,88.64,365080.0,
2017-06-27,754647.330835,211,156778000.0,79.69,660872.0,
2017-06-28,618515.021995,188,180253000.0,91.63,474827.0,
2017-06-29,6841103.6982,175,200574000.0,101.95,403049.0,
2017-06-30,841884.86181,206,166563000.0,84.67,404239.0,
2017-07-01,968576.284653,163,163893000.0,83.31,418430.0,
2017-07-02,1095399.0831,177,158100000.0,80.36,516134.0,
2017-07-03,1878798.33574,450,174869000.0,88.89,1475570.0,
2017-07-04,3223567.85732,670,267475000.0,135.96,2074780.0,
2017-07-05,3508010.91654,405,368540000.0,187.33,1657050.0,
2017-07-06,5770840.11251,437,402931000.0,204.79,1289000.0,
2017-07-07,2257780.33051,442,405731000.0,206.16,1175170.0,
2017-07-08,7875108.70499,414,332598000.0,169.0,1094770.0,
2017-07-09,2511232.4138,414,354508000.0,180.13,831020.0,
2017-07-10,4989859.18656,487,294083000.0,149.43,912641.0,
2017-07-11,2219900.96843,401,263683000.0,133.98,568388.0,
2017-07-12,2904993.55874,393,253958000.0,129.04,1024050.0,
2017-07-13,4751178.02345,343,308208000.0,156.61,551359.0,
2017-07-14,1271606.82435,400,252924000.0,128.51,750738.0,
2017-07-15,2125727.56583,379,229258000.0,116.49,526734.0,
2017-07-16,1547340.40422,378,210073000.0,106.74,846448.0,
2017-07-17,2177725.88136,430,268360000.0,136.33,1096830.0,
2017-07-18,5775831.42623,579,309564000.0,157.26,2329790.0,
2017-07-19,6810336.53685,491,435521000.0,221.25,1940830.0,
2017-07-20,3775621.20441,326,357526000.0,181.53,1201120.0,
2017-07-21,3120238.37898,322,413850000.0,210.13,1171560.0,
2017-07-22,1866560.36242,352,405142000.0,205.71,1366800.0,
