date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD)
2017-09-03,1861227.17474,391,45350800.0,1.82,30155700.0,
2017-09-04,29558794.334,441,73619300.0,2.96,16344800.0,
2017-09-05,1683697.11747,582,45739600.0,1.84,16728900.0,
2017-09-06,1867440.14222,296,29490800.0,1.18,8262150.0,
2017-09-07,230791.8865,170,25037300.0,1.01,8630600.0,
2017-09-08,2634208.29183,514,39078200.0,1.57,15172300.0,
2017-09-09,624436.678349,365,32275400.0,1.3,4611730.0,
2017-09-10,1638750.54064,368,39993000.0,1.61,6472840.0,
2017-09-11,12781593.3887,502,39550300.0,1.59,13896400.0,
2017-09-12,2352061.42933,780,52889600.0,2.12,20894100.0,
2017-09-13,2342432.60051,355,45286900.0,1.82,5015140.0,
2017-09-14,655664.472873,301,47258800.0,1.9,5627240.0,
2017-09-15,500869.135,260,38627600.0,1.55,4709050.0,
2017-09-16,736887.69948,189,43453400.0,1.75,2172600.0,
2017-09-17,499944.137515,155,43040200.0,1.73,1102610.0,
2017-09-18,593682.821022,165,42183800.0,1.69,1501820.0,
2017-09-19,645589.791189,211,45222300.0,1.82,2457140.0,
2017-09-20,280629.555326,171,37881900.0,1.52,1736010.0,
2017-09-21,345591.737586,171,31498300.0,1.27,1456350.0,
2017-09-22,117295.366003,113,32191900.0,1.29,1572810.0,
2017-09-23,110200.642525,105,36890500.0,1.48,2115510.0,
2017-09-24,433476.448088,119,44390100.0,1.78,1746370.0,
2017-09-25,341395.396474,163,44898100.0,1.8,2975160.0,
2017-09-26,782449.355253,296,54844600.0,2.2,10433800.0,
2017-09-27,1742156.0694,512,71181000.0,2.86,19088400.0,
2017-09-28,9530495.59285,924,99811600.0,4.01,36777800.0,
2017-09-29,4579110.69446,515,154983000.0,6.22,23391200.0,
2017-09-30,6183945.64385,367,136804000.0,5.49,21174400.0,
2017-10-01,1914864.41804,434,133822000.0,5.37,25880700.0,
2017-10-02,4654968.15077,637,184619000.0,7.41,22049700.0,
2017-10-03,2873368.32429,402,204979000.0,8.23,17561700.0,
2017-10-04,2091154.78352,344,196239000.0,7.88,17154400.0,
2017-10-05,1259884.55088,259,184485000.0,7.41,8563830.0,
2017-10-06,1172766.68118,203,170128000.0,6.83,5912220.0,
2017-10-07,1173284.28155,263,169181000.0,6.79,9909530.0,
2017-10-08,1646203.29254,221,198198000.0,7.96,9440440.0,
2017-10-09,1012535.48224,209,171993000.0,6.91,11961300.0,
2017-10-10,966743.455782,210,154974000.0,6.22,11730200.0,
2017-10-11,1872324.71866,285,176108000.0,7.07,5901540.0,
2017-10-12,1415576.19432,285,168237000.0,6.76,10746800.0,
2017-10-13,1520229.42712,260,143016000.0,5.74,15520100.0,
2017-10-14,1087960.70978,210,141815000.0,5.7,12183000.0,
2017-10-15,3880681.87969,209,147578000.0,5.93,17394000.0,
2017-10-16,1048901.12284,254,148241000.0,5.95,18689600.0,
2017-10-17,1163671.41922,220,155306000.0,6.24,9753950.0,
2017-10-18,1026870.72242,219,152543000.0,6.13,9495240.0,
2017-10-19,1021006.86009,257,168552000.0,6.77,13309000.0,
2017-10-20,1147788.6573,265,178169000.0,7.16,9339930.0,
2017-10-21,770675.223724,226,153126000.0,6.15,10050200.0,
2017-10-22,547930.543186,192,171400000.0,6.88,5035330.0,
2017-10-23,1207556.55077,249,170308000.0,6.84,6309760.0,
2017-10-24,1846274.4883,315,168756000.0,6.78,14271000.0,
2017-10-25,1467451.64575,262,202801000.0,8.15,6167020.0,
2017-10-26,75867753.5556,255,182658000.0,7.34,6099610.0,
2017-10-27,875585.930726,216,172952000.0,6.95,6105710.0,
2017-10-28,817276.571444,239,166672000.0,6.69,6227040.0,
2017-10-29,1298443.5884,186,163061000.0,6.55,13992200.0,
2017-10-30,2251967.01401,309,172576000.0,6.93,15477200.0,
2017-10-31,2873229.61059,316,187896000.0,7.55,12762800.0,
2017-11-01,1716313.59537,413,138501000.0,5.56,9936870.0,
2017-11-02,2174675.42502,382,122250000.0,4.91,13969600.0,
2017-11-03,1420226.38672,269,113723000.0,4.57,9889950.0,
2017-11-04,1008212.19763,238,122346000.0,4.91,6872030.0,
2017-11-05,815238.748392,145,127254000.0,5.11,3087380.0,
2017-11-06,871476.125007,188,118506000.0,4.76,7873020.0,
2017-11-07,1064782.09948,154,122164000.0,4.91,7349530.0,
2017-11-08,1149682.20984,275,120542000.0,4.84,24664000.0,
2017-11-09,1468936.85289,312,163696000.0,6.57,11325700.0,
2017-11-10,883588.064953,193,154127000.0,6.19,13493300.0,
2017-11-11,822408.973726,190,131182000.0,5.27,9281590.0,
2017-11-12,1609408.08049,225,130055000.0,5.22,9364360.0,
2017-11-13,926613.118534,235,111988000.0,4.5,8365780.0,
2017-11-14,638873.242155,253,129961000.0,5.22,6319000.0,
2017-11-15,551266.895452,182,131408000.0,5.28,6528410.0,
2017-11-16,782106.005737,179,129376000.0,5.2,7616310.0,
2017-11-17,1284603.99738,306,117187000.0,4.71,8662410.0,
2017-11-18,627385.421557,225,117839000.0,4.73,14891000.0,
2017-11-19,785130.141682,240,125717000.0,5.05,17371700.0,
2017-11-20,841855.991221,202,122277000.0,4.91,16891000.0,
2017-11-21,1087083.50655,205,124395000.0,5.0,12881900.0,
2017-11-22,772715.093158,238,117903000.0,4.74,13278400.0,
2017-11-23,1557014.66263,340,116029000.0,4.66,11358300.0,
2017-11-24,1296840.00145,279,108531000.0,4.36,14558200.0,
2017-11-25,764697.414518,237,120325000.0,4.83,14023000.0,
2017-11-26,428348.119302,199,129079000.0,5.18,11046800.0,
2017-11-27,2270756.36864,495,129436000.0,5.2,31274700.0,
2017-11-28,5421710.15287,590,160649000.0,6.45,18013900.0,
2017-11-29,5144720.79566,490,139961000.0,5.62,10911200.0,
2017-11-30,5233100.41931,577,129174000.0,5.19,13012100.0,
2017-12-01,16215306.9461,787,168838000.0,6.78,20934400.0,
2017-12-02,20571020.6029,712,206235000.0,8.28,19238100.0,
2017-12-03,57597466.3428,832,240959000.0,9.68,26299700.0,
2017-12-04,8437366.92764,543,232932000.0,9.36,13118600.0,
2017-12-05,15636499.8328,619,229314000.0,9.21,14947700.0,
2017-12-06,9822003.25669,642,230748000.0,9.27,19600000.0,
2017-12-07,9653789.69958,610,208060000.0,8.36,17201500.0,
2017-12-08,31145539.1451,2516,189056000.0,7.59,24314400.0,
2017-12-09,113086987.59,2383,215851000.0,8.67,17621900.0,
2017-12-10,7534770.86266,1611,201539000.0,8.09,11443400.0,
2017-12-11,11281590.2808,328,174262000.0,7.0,12740900.0,
2017-12-12,1757130.78358,399,179434000.0,7.21,19057700.0,
2017-12-13,3222549.65245,399,181088000.0,7.27,15391700.0,
2017-12-14,54734153.9817,403,181160000.0,7.28,16553300.0,
2017-12-15,2172575.231,340,200988000.0,8.07,14490000.0,
2017-12-16,2364053.28825,422,201379000.0,8.09,12427100.0,
2017-12-17,2249081.28219,576,219097000.0,8.8,23229200.0,
2017-12-18,3298675.33739,581,263291000.0,10.57,17488000.0,
2017-12-19,7937472.82728,494,305609000.0,12.27,11175900.0,
2017-12-20,6518675.95253,631,300091000.0,12.05,49304200.0,
2017-12-21,12954502.5606,671,423927000.0,17.03,32328500.0,
2017-12-22,4433773.83426,559,410355000.0,16.48,15930700.0,
2017-12-23,6173596.53274,602,327211000.0,13.14,14593400.0,
2017-12-24,6441625.39623,302,382351000.0,15.36,16113800.0,
2017-12-25,3158853.37141,355,340539000.0,13.68,20780700.0,
2017-12-26,4172128.66745,450,316926000.0,12.73,19032500.0,
2017-12-27,1932940.49962,439,284125000.0,11.41,14221200.0,
2017-12-28,7292991.99931,417,288679000.0,11.59,17328600.0,
2017-12-29,3222511.30352,410,299566000.0,12.03,23031900.0,
2017-12-30,1128631.88656,339,281527000.0,11.31,19622800.0,
2017-12-31,1311743.6467,351,255470000.0,10.26,22289500.0,
2018-01-01,5089226.95745,331,283308000.0,11.38,27012000.0,
2018-01-02,2533390.25343,596,283325000.0,11.38,31560000.0,
2018-01-03,13260721.3315,917,288923000.0,11.6,32263600.0,
2018-01-04,6345909.41245,616,270464000.0,10.86,25815500.0,
2018-01-05,3821008.82401,626,242073000.0,9.72,30884700.0,
